属性,实例1,实例2,实例3,实例4,实例5,实例6,实例7,实例8,实例9,实例10,实例11,实例12,实例13,实例14,实例15,实例16
Disk-物理扇区,4096 Byte,4096 Byte,4096 Byte,4096 Byte,4096 Byte,4096 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte,512 Byte
Disk-介质类型,HDD,SSD,SSD,HDD,Virtual,Virtual,HDD,HDD,HDD,SSD,SSD,HDD,HDD,HDD,HDD,HDD
Disk-分区表,GPT,GPT,GPT,GPT,GPT,GPT,,,,,,,,,,
Disk-启动盘,×,×,√,×,×,×,,,,,,,,,,
Disk-预配类型,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,None,None,None,None,None,None,None,None,None,None
Disk-分区数量,2,2,5,2,1,1,,,,,,,,,,
Disk-健康状态,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
Disk-运行状态,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
Disk-位置前缀,Integrated,PCI Slot 28,Integrated,Integrated,,,PCI Slot 8,PCI Slot 8,PCI Slot 8,Integrated,Integrated,PCI Slot 8,PCI Slot 8,PCI Slot 8,PCI Slot 8,PCI Slot 8
Disk-总线号,0,3,2,0,,,6,6,6,0,0,6,6,6,6,6
Disk-设备号,23,0,0,23,,,0,0,0,23,23,0,0,0,0,0
Disk-功能号,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Disk-适配器号,0,2,1,0,,,4,4,4,0,0,4,4,4,4,4
Disk-端口号,4,,,5,,,0,0,0,7,6,0,0,0,0,0
Disk-目标ID,,,,,,,11,0,8,,,1,9,6,10,3
Disk-逻辑单元号,,,,,,,0,0,0,,,0,0,0,0,0
Disk-所属池,Primordial,Primordial,Primordial,Primordial,Pool01,Pool02,"Pool01,Primordial","Pool01,Primordial","Pool02,Primordial","Pool01,Primordial","Pool02,Primordial","Pool01,Primordial","Pool02,Primordial","Pool02,Primordial","Pool02,Primordial","Pool01,Primordial"
